DAP,Reaction,Active_In,Flux_Value
8,R02521[K,c],WT_only,0.00000027
8,R02636[K,p],WT_only,0.00010456
8,R02734[K,p],WT_only,0.00000004
8,R04218[K,p],WT_only,-0.00000014
8,R04365[K,p],WT_only,0.00000004
8,R04475[K,p],WT_only,-0.00000004
8,R04798[K,p],WT_only,0.00000004
8,R06871[K,c],WT_only,0.00000088
8,cmTransport_C00091[K],WT_only,-0.00000004
8,cpTransport_C00021[K],WT_only,-0.00000033
8,cpTransport_C00051[K],WT_only,-0.00000004
8,cpTransport_C00073[K],WT_only,-0.00000012
8,cpTransport_C00114[K],WT_only,0.00000088
8,cpTransport_C00307[K],WT_only,-0.00000088
8,cpTransport_C00430[K],WT_only,0.00000004
8,cpTransport_C00544[K],WT_only,0.00000027
8,cpTransport_C00617[K],WT_only,0.00010456
8,cpTransport_C00935[K],WT_only,0.00010456
8,cpTransport_MC00922[K],WT_only,0.00000001
8,cpTransport_MC00933[K],WT_only,0.00000017
8,cpTransport_MC00946[K],WT_only,-0.00000003
8,cpTransport_MC00995[K],WT_only,0.00000040
8,cpTransport_MC00997[K],WT_only,0.00000040
8,16:0-18:0-PGdegradation[K],O2_only,0.00000001
8,16:0/16:0-PCdegradation[K],O2_only,-0.00000016
8,16:0/18:0-SQDGdegradation[K],O2_only,0.00000035
8,16:0/18:3-PCdegradation[K],O2_only,0.00000081
8,18:0-18:0-PGdegradation[K],O2_only,-0.00000001
8,18:0/18:0-DGDGdegradation[K],O2_only,0.00000010
8,18:0/18:0-MGDGdegradation[K],O2_only,0.00000001
8,18:2/18:2-DGDGdegradation[K],O2_only,0.00000023
8,ExB_C00075[K],O2_only,0.00000074
8,Exchange_182MGDG[K,L],O2_only,-0.00000047
8,MR00186[K,m],O2_only,0.00000127
8,MR00285[K,c],O2_only,0.00000127
8,MR00747_mod[K,x],O2_only,0.00000127
8,MR01096[K,c],O2_only,0.00000081
8,MR01104[K,c],O2_only,0.00000081
8,MR01112[K,p],O2_only,-0.00000035
8,MR01122[K,p],O2_only,0.00001511
8,MR01133[K,p],O2_only,-0.00000004
8,MR01134[K,p],O2_only,-0.00000004
8,MR01138[K,c],O2_only,-0.00000081
8,MR01149[K,p],O2_only,0.00000010
8,MR01159[K,p],O2_only,0.00000035
8,MR01239[K,c],O2_only,0.00000001
8,MR01240[K,c],O2_only,-0.00000001
8,MR01275[K,c],O2_only,-0.00000016
8,MR01276[K,c],O2_only,0.00000115
8,PhloemImport_C00002_I[K,c],O2_only,0.00012257
8,PhloemImport_C00015_I[K,c],O2_only,0.00000192
8,PhloemImport_C00144_I[K,c],O2_only,0.00000109
8,PhloemTransport_C00002[K,c],O2_only,0.00012257
8,PhloemTransport_C00015[K,c],O2_only,0.00000192
8,PhloemTransport_C00144[K,c],O2_only,0.00000109
8,R00192[K,p],O2_only,0.00000053
8,R00211[K,c],O2_only,0.00000254
8,R00330[K,c],O2_only,0.00011298
8,R00332[K,c],O2_only,0.00000109
8,R00342[K,x],O2_only,-0.00000127
8,R00367[K,p],O2_only,0.00000014
8,R00571[K,c],O2_only,0.00000104
8,R00610[K,p],O2_only,0.00000014
8,R00667[K,m],O2_only,-0.00000063
8,R00715[K,c],O2_only,0.00000127
8,R00885[K,c],O2_only,0.00011189
8,R00924[K,m],O2_only,0.00000127
8,R00932[K,x],O2_only,-0.00000127
8,R00935[K,m],O2_only,0.00000127
8,R01121[K,c],O2_only,0.00000127
8,R01123[K,p],O2_only,0.00000032
8,R01210[K,m],O2_only,0.00000127
8,R01214[K,m],O2_only,0.00000127
8,R01473[K,c],O2_only,0.00012234
8,R01658[K,p],O2_only,0.00000032
8,R01933[K,m],O2_only,0.00000127
8,R01939[K,c],O2_only,0.00000127
8,R01975[K,x],O2_only,0.00000127
8,R01978[K,c],O2_only,0.00000127
8,R02003[K,p],O2_only,0.00000032
8,R02061[K,p],O2_only,0.00000032
8,R02082[K,c],O2_only,0.00000127
8,R02245[K,c],O2_only,0.00000127
8,R02313[K,c],O2_only,0.00000127
8,R02317[K,c],O2_only,0.00000127
8,R02488[K,x],O2_only,0.00000127
8,R03026[K,x],O2_only,-0.00000127
8,R03245[K,c],O2_only,0.00000127
8,R04224[K,m],O2_only,0.00000127
8,R04432[K,x],O2_only,0.00000127
8,R05064[K,m],O2_only,0.00000127
8,R05066[K,m],O2_only,0.00000127
8,R09093[K,p],O2_only,0.00000014
8,cmTransport_C00077[K],O2_only,-0.00000063
8,cmTransport_C00183[K],O2_only,0.00000127
8,cmTransport_C00322[K],O2_only,0.00000127
8,cmTransport_C00527[K],O2_only,-0.00000127
8,cmTransport_C00894[K],O2_only,-0.00000127
8,cpTransport_C00024[K],O2_only,0.00000127
