Reaction,DAP,WT_vmin,O2_vmin,WT_vmax,O2_vmax,vmin_diff,vmax_diff
R00715[K,p],30,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00716[K,c],6,0.00000000,0.00000000,2.95073153,2.80851272,0.00000000,-0.14221882
R00716[K,c],8,0.00000000,0.00000000,2.54479522,2.61216587,0.00000000,0.06737065
R00716[K,c],10,0.00000000,0.00000000,2.58463763,2.43931546,0.00000000,-0.14532217
R00716[K,c],12,0.00000000,0.00000000,2.40117875,2.39857567,0.00000000,-0.00260308
R00716[K,c],15,0.00000000,0.00000000,3.68830561,2.37365536,0.00000000,-1.31465025
R00716[K,c],18,0.00000000,0.00000000,3.06597945,2.43291587,0.00000000,-0.63306358
R00716[K,c],22,0.00000000,0.00000000,6.35675352,2.98717097,0.00000000,-3.36958255
R00716[K,c],30,0.00000000,0.00000000,5.52026718,3.92853542,0.00000000,-1.59173176
R02313[K,c],6,0.00000000,0.00000000,4.24365327,4.01860858,0.00000000,-0.22504469
R02313[K,c],8,0.00000000,0.00000000,2.69091899,2.81510148,0.00000000,0.12418249
R02313[K,c],10,0.00000000,0.00000000,2.07228866,1.91922278,0.00000000,-0.15306588
R02313[K,c],12,0.00000000,0.00000000,2.39393979,2.35309283,0.00000000,-0.04084696
R02313[K,c],15,0.00000000,0.00000000,4.83221333,3.83070712,0.00000000,-1.00150621
R02313[K,c],18,0.00000000,0.00000000,4.04312953,4.10474460,0.00000000,0.06161508
R02313[K,c],22,0.00000000,0.00000000,6.99211369,5.24089894,0.00000000,-1.75121476
R02313[K,c],30,0.00000000,0.00000000,5.69519564,8.93798274,0.00000000,3.24278710
R03102[K,c],6,0.00000000,0.00000000,0.18925508,0.15721515,0.00000000,-0.03203994
R03102[K,c],8,0.00000000,0.00000000,0.18769131,0.15186185,0.00000000,-0.03582946
R03102[K,c],10,0.00000000,0.00000000,0.16368694,0.14948884,0.00000000,-0.01419810
R03102[K,c],12,0.00000000,0.00000000,0.19504310,0.19123329,0.00000000,-0.00380981
R03102[K,c],15,0.00000000,0.00000000,0.32257428,0.23820443,0.00000000,-0.08436985
R03102[K,c],18,0.00000000,0.00000000,0.27846225,0.22550081,0.00000000,-0.05296144
R03102[K,c],22,0.00000000,0.00000000,0.33389590,0.22752183,0.00000000,-0.10637407
R03102[K,c],30,0.00000000,0.00000000,0.27759746,0.22538263,0.00000000,-0.05221483
R03658[K,m],6,0.00000000,0.00000000,0.27770325,0.27634278,0.00000000,-0.00136047
R03658[K,m],8,0.00000000,0.00000000,0.26536422,0.26462846,0.00000000,-0.00073576
R03658[K,m],10,0.00000000,0.00000000,0.29153671,0.30408774,0.00000000,0.01255103
R03658[K,m],12,0.00000000,0.00000000,0.39649556,0.33497614,0.00000000,-0.06151943
R03658[K,m],15,0.00000000,0.00000000,0.24132834,0.37609009,0.00000000,0.13476175
R03658[K,m],18,0.00000000,0.00000000,0.21295136,0.20964459,0.00000000,-0.00330677
R03658[K,m],22,0.00000000,0.00000000,0.10338161,0.14510571,0.00000000,0.04172410
R03658[K,m],30,0.00000000,0.00000000,0.12931959,0.09868424,0.00000000,-0.03063536
R03658[K,p],6,0.00000000,0.00000000,0.27770325,0.27634278,0.00000000,-0.00136047
R03658[K,p],8,0.00000000,0.00000000,0.26536422,0.26462846,0.00000000,-0.00073576
R03658[K,p],10,0.00000000,0.00000000,0.29153671,0.30408774,0.00000000,0.01255103
R03658[K,p],12,0.00000000,0.00000000,0.39649556,0.33497614,0.00000000,-0.06151943
R03658[K,p],15,0.00000000,0.00000000,0.24132834,0.37609009,0.00000000,0.13476175
R03658[K,p],18,0.00000000,0.00000000,0.21295136,0.20964459,0.00000000,-0.00330677
R03658[K,p],22,0.00000000,0.00000000,0.10338161,0.14510571,0.00000000,0.04172410
R03658[K,p],30,0.00000000,0.00000000,0.12931959,0.09868424,0.00000000,-0.03063536
cpTransport_C00047[K],6,-1000.00000000,-1000.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
cpTransport_C00047[K],8,-1000.00000000,-1000.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
cpTransport_C00047[K],10,-1000.00000000,-1000.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
cpTransport_C00047[K],12,-1000.00000000,-1000.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
cpTransport_C00047[K],15,-1000.00000000,-1000.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
cpTransport_C00047[K],18,-1000.00000000,-1000.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
cpTransport_C00047[K],22,-1000.00000000,-1000.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
cpTransport_C00047[K],30,-1000.00000000,-1000.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
ExB_C00047[K],6,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
ExB_C00047[K],8,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
ExB_C00047[K],10,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
ExB_C00047[K],12,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
ExB_C00047[K],15,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
ExB_C00047[K],18,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
ExB_C00047[K],22,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
