Reaction,WT_DAP6,O2_DAP6,WT_DAP8,O2_DAP8,WT_DAP10,O2_DAP10,WT_DAP12,O2_DAP12,WT_DAP15,O2_DAP15,WT_DAP18,O2_DAP18,WT_DAP22,O2_DAP22,WT_DAP30,O2_DAP30
PhloemImport_C00049[K,c],0.07868096,0.13593685,0.12932216,0.15510080,0.13569973,0.14424307,0.12997476,0.12323903,0.16936718,0.16738365,0.29012046,0.20494534,0.06993328,4.05698672,0.00000000,0.01546931
PhloemImport_C00055_E[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00055_I[K,c],0.00000161,0.00000011,0.00000000,0.00000000,0.00000182,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00059[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00063_E[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00063_I[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000251,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00064[K,c],0.00014856,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00039749,0.00000000,0.00000000,0.00000000,0.00008931,0.00000000,0.00004345,0.00000000
PhloemImport_C00065[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02187814,0.00000000,0.00000000,0.02200293,0.00491437,0.00484886,0.00239052,0.00081389
PhloemImport_C00070[K,c],0.00000004,0.00000004,0.00000004,0.00000004,0.00000004,0.00000004,0.00000005,0.00000004,0.00000010,0.00000009,0.00000008,0.00000010,0.00000002,0.00000002,0.00000001,0.00000000
PhloemImport_C00073[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00075_E[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00075_I[K,c],0.00000000,0.00000000,0.00000101,0.00000000,0.00000000,0.00000000,0.00000210,0.00000000,0.00000179,0.00000000,0.00000138,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00076[K,c],0.00000137,0.00000134,0.00000130,0.00000152,0.00000144,0.00000146,0.00000166,0.00000154,0.00000367,0.00000304,0.00000283,0.00000369,0.00000083,0.00000081,0.00000040,0.00000014
PhloemImport_C00079[K,c],0.00000119,0.00000116,0.00000112,0.00000131,0.00000124,0.00000126,0.00000144,0.00000133,0.00000317,0.00000263,0.00000244,0.00000319,0.00000000,1.42449871,0.05085651,0.00000000
