Reaction,WT_DAP6,O2_DAP6,Diff_DAP6,WT_DAP8,O2_DAP8,Diff_DAP8,WT_DAP10,O2_DAP10,Diff_DAP10,WT_DAP12,O2_DAP12,Diff_DAP12,WT_DAP15,O2_DAP15,Diff_DAP15,WT_DAP18,O2_DAP18,Diff_DAP18,WT_DAP22,O2_DAP22,Diff_DAP22,WT_DAP30,O2_DAP30,Diff_DAP30,MaxAbsDiff,AvgAbsDiff,ConsistentDirection
R10170[K,p],0.07555722,0.07580766,0.00025044,0.07237814,0.08625846,0.01388032,0.00000000,0.08097796,0.08097796,0.07809552,0.07334527,-0.00475025,0.00000000,0.16038189,0.16038189,0.00000000,0.00000000,0.00000000,0.06031337,1.46034980,1.40003643,0.04617879,0.00000000,-0.04617879,1.40003643,0.21330701,MIXED
R01090[K,p],-0.07555722,-0.07580766,-0.00025044,-0.07237814,-0.08625846,-0.01388032,-0.07717384,-0.08097796,-0.00380412,-0.07809552,-0.07334527,0.00475025,-0.17171630,-0.16038189,0.01133441,-0.07287533,-0.14499730,-0.07212197,-0.07012233,-1.47007747,-1.39995514,-0.05095006,0.00000000,0.05095006,1.39995514,0.19463084,MIXED
R01213[K,p],0.07555722,0.07580766,0.00025044,0.07237814,0.08625846,0.01388032,0.07717384,0.08097796,0.00380412,0.07809552,0.07334527,-0.00475025,0.17171630,0.16038189,-0.01133441,0.07287533,0.14499730,0.07212197,0.07012233,1.47007747,1.39995514,0.05095006,0.00000000,-0.05095006,1.39995514,0.19463084,MIXED
R01652[K,p],0.07555722,0.07580766,0.00025044,0.07237814,0.08625846,0.01388032,0.07717384,0.08097796,0.00380412,0.07809552,0.07334527,-0.00475025,0.17171630,0.16038189,-0.01133441,0.07287533,0.14499730,0.07212197,0.07012233,1.47007747,1.39995514,0.05095006,0.00000000,-0.05095006,1.39995514,0.19463084,MIXED
cpTransport_C00123[K],-0.07555722,-0.07580766,-0.00025044,-0.07237814,-0.08625846,-0.01388032,-0.07717384,-0.08097796,-0.00380412,-0.07809552,-0.07334527,0.00475025,-0.17171630,-0.16038189,0.01133441,-0.07287533,-0.14499730,-0.07212197,-0.07012233,-1.47007747,-1.39995514,-0.05095006,0.00000000,0.05095006,1.39995514,0.19463084,MIXED
PhloemImport_C00123[K,c],999.92444278,999.92419234,-0.00025044,999.92762186,999.91374154,-0.01388032,999.92282616,999.91902204,-0.00380412,999.92190448,999.92665473,0.00475025,999.82828370,999.83961811,0.01133441,999.92712467,999.85500270,-0.07212197,999.92987767,998.52992253,-1.39995514,999.94904994,1000.00000000,0.05095006,1.39995514,0.19463084,MIXED
PhloemTransport_C00123[K,c],999.92444278,999.92419234,-0.00025044,999.92762186,999.91374154,-0.01388032,999.92282616,999.91902204,-0.00380412,999.92190448,999.92665473,0.00475025,999.82828370,999.83961811,0.01133441,999.92712467,999.85500270,-0.07212197,999.92987767,998.52992253,-1.39995514,999.94904994,1000.00000000,0.05095006,1.39995514,0.19463084,MIXED
R00006_mod[K,p],0.07556191,0.07581352,0.00025161,0.07238257,0.08626491,0.01388234,0.07717875,0.08098296,0.00380421,0.07810120,0.07335052,-0.00475068,0.00000000,0.16039228,0.16039228,0.07288499,0.14500992,0.07212493,0.07012515,1.47008026,1.39995511,0.05095143,0.00000047,-0.05095096,1.39995511,0.21326402,MIXED
R04440[K,p],-0.07556191,-0.07581352,-0.00025161,-0.07238257,-0.08626491,-0.01388234,-0.07717875,-0.08098296,-0.00380421,-0.07810120,-0.07335052,0.00475068,-0.17172885,-0.16039228,0.01133657,-0.07288499,-0.14500992,-0.07212493,-0.07012515,-1.47008026,-1.39995511,-0.05095143,-0.00000047,0.05095096,1.39995511,0.19463205,MIXED
R04441[K,p],0.07556191,0.07581352,0.00025161,0.07238257,0.08626491,0.01388234,0.07717875,0.08098296,0.00380421,0.07810120,0.07335052,-0.00475068,0.17172885,0.16039228,-0.01133657,0.07288499,0.14500992,0.07212493,0.07012515,1.47008026,1.39995511,0.05095143,0.00000047,-0.05095096,1.39995511,0.19463205,MIXED
R05071[K,p],0.07556191,0.07581352,0.00025161,0.07238257,0.08626491,0.01388234,0.07717875,0.08098296,0.00380421,0.07810120,0.07335052,-0.00475068,0.17172885,0.16039228,-0.01133657,0.07288499,0.14500992,0.07212493,0.07012515,1.47008026,1.39995511,0.05095143,0.00000047,-0.05095096,1.39995511,0.19463205,MIXED
