Reaction,GSM_Match,Screen_Type,Function,Fold_Change,Has_GPR,GPR_Type,N_Genes,Gene_IDs,Pathway,GPR_Rule,Category
"18,R00351[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00512[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00586[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00667[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00707[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00756[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00801[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00844[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00883[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00936[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R01015[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R01184[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R01251_mod[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R01280[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R01308[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R01381[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R01476[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R01641[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R01829[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R01843[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R01866[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R02016[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R02092[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R02103[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R02199[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R02734[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R02738[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R02740[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R04001[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R07559[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"19,PhloemTransport_C00082[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
2,"PhloemTransport_C00025[K,c]",4.666849,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"20,PhloemImport_C00082[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"21,PhloemTransport_C00079[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"22,PhloemImport_C00079[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"23,MR01086[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"24,MR01091[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"25,MR01103[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"26,MR01106[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"27,R04001[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"28,R00014[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"29,MR01101[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
3,"PhloemTransport_C00031[K,c]",4.370525,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"30,R01251_mod[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"31,MR01162[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
32,"R04432[K,p]",0.321486,,1,Yes,single_gene,1,GRMZM2G001297,beta-Alanine metabolism,(GRMZM2G001297),Screening_Target
"33,R01308[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
34,"PhloemTransport_C00034[K,c]",0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
35,"PhloemTransport_C00035[K,c]",0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"36,R01280[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"37,R00248[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"38,MR01101[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"39,MR01235[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"4,R00216[K",NOT_FOUND,4.210445,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"40,R00299[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
