DAP,Reaction
18,MR01157[K,p]
18,MR01158[K,p]
18,MR01159[K,p]
18,MR01163[K,c]
18,MR01168[K,c]
18,MR01202[K,c]
18,MR01211[K,c]
18,MR01220[K,c]
18,MR01237[K,p]
18,MR01238[K,c]
18,MR01240[K,c]
18,MR01245[K,c]
18,MR01284[K,c]
18,MR01288[K,c]
18,R00210[K,p]
18,R00211[K,c]
18,R00326[K,p]
18,R00326[K,c]
18,R00338[K,c]
18,R00367[K,p]
18,R00466[K,c]
18,R00776[K,x]
18,R00844[K,p]
18,R00864[K,p]
18,R00932[K,x]
18,R00935[K,m]
18,R01016[K,c]
18,R01057[K,p]
18,R01058[K,c]
18,R01302[K,c]
18,R01302[K,p]
18,R01308[K,c]
18,R01308[K,p]
18,R01433[K,c]
18,R01561[K,c]
18,R01621[K,c]
18,R01626[K,p]
18,R01652[K,p]
18,R01658[K,p]
18,R01706[K,p]
18,R01863[K,p]
18,R01875[K,p]
18,R01939[K,c]
18,R01945[K,c]
18,R02063[K,p]
18,R02222[K,p]
18,R02283[K,p]
18,R02423[K,x]
18,R02636[K,c]
18,R03314[K,m]
18,R03314[K,p]
18,R03370[K,p]
18,R03533[K,p]
18,R03918[K,c]
18,R04198[K,p]
18,R04428[K,p]
18,R04429[K,p]
18,R04533[K,p]
18,R04534[K,p]
18,R04535[K,p]
18,R04536[K,p]
18,R04537[K,p]
18,R04543[K,p]
18,R04544[K,p]
18,R04568[K,p]
18,R04953[K,p]
18,R04954[K,p]
18,R04955[K,p]
18,R04962[K,p]
18,R04964[K,p]
18,R04965[K,p]
18,R04967[K,p]
18,R05071[K,p]
18,R05554[K,x]
18,R06601[K,x]
18,R06604[K,x]
18,R06847[K,p]
18,R06869[K,c]
18,R06961[K,p]
18,R07226[K,c]
18,R07437[K,c]
18,R07558[K,p]
18,R07826[K,p]
18,R07850[K,p]
18,R07851[K,p]
18,R08161[K,p]
18,R09093[K,p]
18,cmTransport_C00001[K]
18,cmTransport_C00010[K]
18,cmTransport_C00011[K]
18,cmTransport_C00022[K]
18,cmTransport_C00026[K]
18,cmTransport_C00077[K]
18,cmTransport_C00183[K]
18,cmTransport_C00322[K]
18,cmTransport_C00493[K]
18,cmTransport_C00527[K]
18,cmTransport_C00894[K]
18,cmTransport_C03175[K]
18,cmTransport_C03460[K]
18,cmTransport_C04236[K]
18,cmTransport_C04411[K]
18,cmTransport_C06000[K]
18,cmTransport_C00149[K]
18,cpTransport_C00668[K]
18,cpTransport_C00001[K]
18,cpTransport_C00011[K]
18,cpTransport_C00019[K]
18,cpTransport_C00024[K]
18,cpTransport_C00025[K]
18,cpTransport_C00026[K]
18,cpTransport_C00036[K]
18,cpTransport_C00059[K]
18,cpTransport_C00074[K]
18,cpTransport_C00077[K]
18,cpTransport_C00111[K]
18,cpTransport_C00123[K]
18,cpTransport_C00124[K]
18,cpTransport_C00129[K]
18,cpTransport_C00148[K]
18,cpTransport_C00149[K]
18,cpTransport_C00155[K]
18,cpTransport_C00183[K]
18,cpTransport_C00212[K]
18,cpTransport_C00236[K]
18,cpTransport_C00279[K]
18,cpTransport_C00385[K]
18,cpTransport_C00493[K]
18,cpTransport_C00620[K]
18,cpTransport_C00740[K]
18,cpTransport_C01197[K]
18,cpTransport_C01595[K]
18,cpTransport_C02477[K]
18,cpTransport_C02504[K]
18,cpTransport_C04236[K]
18,cpTransport_C06427[K]
18,cpTransport_C00010[K]
18,cpTransport_C00047[K]
18,cpTransport_C00075[K]
18,cpTransport_C00188[K]
18,cpTransport_C00249[K]
18,cpTransport_C00369[K]
18,cpTransport_C00407[K]
18,cpTransport_C00412[K]
18,cpTransport_C00469[K]
18,cpTransport_C00544[K]
18,cpTransport_C02050[K]
18,cpTransport_C08362[K]
18,cpTransport_C16162[K]
18,cpTransport_MC00926[K]
18,cpTransport_MC00930[K]
18,cpTransport_MC00931[K]
18,cpTransport_MC00933[K]
18,cpTransport_MC00936[K]
18,cpTransport_MC00937[K]
18,cpTransport_MC00942[K]
18,cpTransport_MC00943[K]
18,cpTransport_MC00944[K]
18,cpTransport_MC00945[K]
18,cpTransport_MC00946[K]
18,cpTransport_MC00995[K]
18,cpTransport_MC00996[K]
18,cpTransport_MC01040[K]
18,cpTransport_MC01041[K]
18,cxTransport_C00001[K]
18,cxTransport_C00010[K]
18,cxTransport_C00011[K]
18,cxTransport_C00014[K]
18,cxTransport_C00026[K]
18,cxTransport_C00027[K]
18,cxTransport_C00036[K]
18,cxTransport_C00048[K]
18,cxTransport_C00149[K]
18,cxTransport_C00332[K]
18,cxTransport_C00385[K]
18,cxTransport_C00527[K]
18,cxTransport_C00894[K]
18,cxTransport_C03460[K]
18,cxTransport_C06000[K]
18,Trans9[K]
18,Trans4[K]
18,Exchange_160SQDG[K,L]
18,Exchange_160PE[K,L]
18,Exchange_183PE[K,L]
18,Exchange_C00025[K,L]
18,Exchange_C00031[K,L]
18,Exchange_C00073[K,L]
18,Exchange_C00123[K,L]
18,Exchange_C00131[K,L]
18,PhloemTransport_C00049[K,c]
18,PhloemImport_C00049[K,c]
18,PhloemTransport_C00064[K,c]
18,PhloemImport_C00064[K,c]
18,PhloemTransport_C00089[K,c]
18,PhloemImport_C00089_I[K,c]
18,PhloemTransport_C00152[K,c]
18,PhloemImport_C00152[K,c]
18,PhloemTransport_C00038[K,c]
18,PhloemImport_C00038[K,c]
18,PhloemTransport_C00034[K,c]
18,PhloemImport_C00034[K,c]
18,PhloemTransport_C00076[K,c]
18,PhloemImport_C00076[K,c]
18,PhloemTransport_C01330[K,c]
18,PhloemImport_C01330[K,c]
18,PhloemTransport_C14818[K,c]
18,PhloemImport_C14818[K,c]
18,PhloemImport_C00015_I[K,c]
18,PhloemImport_C00063_I[K,c]
18,PhloemImport_C00002_I[K,c]
18,PhloemTransport_C00044[K,c]
18,PhloemImport_C00044_I[K,c]
18,PhloemTransport_C00065[K,c]
18,PhloemImport_C00065[K,c]
