Metabolite_ID,Metabolite_Name,Base_KEGG_ID,Compartment,WT_DAP6,O2_DAP6,Diff_DAP6,WT_DAP8,O2_DAP8,Diff_DAP8,WT_DAP10,O2_DAP10,Diff_DAP10,WT_DAP12,O2_DAP12,Diff_DAP12,WT_DAP15,O2_DAP15,Diff_DAP15,WT_DAP18,O2_DAP18,Diff_DAP18,WT_DAP22,O2_DAP22,Diff_DAP22,WT_DAP30,O2_DAP30,Diff_DAP30,WT_Mean,WT_Max,O2_Mean,O2_Max,Diff_Mean,Diff_Max,Diff_MaxAbs,Diff_SumAbs
"C05378[K,c]",C05378 [cyt],C05378,c,0.0610862700,1.6891024600,1.6280161900,2.1463677000,1.2026810900,-0.9436866100,0.0387061100,1.9889000900,1.9501939800,0.1079732100,0.0600373900,-0.0479358200,1.2737076400,0.6336324900,-0.6400751500,1.3612374500,1.2987927200,-0.0624447300,1.1836711100,0.6714179200,-0.5122531900,1.0135168500,0.0091825100,-1.0043343400,0.8982832925,2.1463677000,0.9442183337,1.9889000900,0.0459350413,1.9501939800,1.9501939800,6.7889400100
"C00668[K,c]",alpha-D-Glucose-6P [cyt],C00668,c,0.0530814700,1.6812687400,1.6281872700,2.1388124150,1.1939567000,-0.9448557150,0.0303144700,1.9803710600,1.9500565900,0.1203868500,0.0510830250,-0.0693038250,1.2534765300,0.6161342500,-0.6373422800,1.3447495000,1.2775519550,-0.0671975450,1.1787940400,2.1875505150,1.0087564750,0.9060283300,0.0102192650,-0.8958090650,0.8782054506,2.1388124150,1.1247669387,2.1875505150,0.2465614881,1.9500565900,1.9500565900,7.2015087650
"C00022[K,c]",Pyruvate [cyt],C00022,c,0.1905834400,0.1304431900,-0.0601402500,0.1264829300,0.1466237800,0.0201408500,0.1431048100,0.1433955250,0.0002907150,0.1757335500,0.1612141200,-0.0145194300,2.1197714400,0.4238134900,-1.6959579500,0.3761132800,1.0905229250,0.7144096450,1.4225911000,3.2593235050,1.8367324050,0.2422668500,0.0208303250,-0.2214365250,0.5995809250,2.1197714400,0.6720208575,3.2593235050,0.0724399325,1.8367324050,1.8367324050,4.5636277700
"C00095[K,B]",D-Fructose [B],C00095,B,0.6070595990,0.0000494510,-0.6070101480,0.0000477109,0.0000558224,0.0000081115,0.6554983901,0.6788065613,0.0233081712,0.7037068197,0.6557362517,-0.0479705679,0.0001351694,0.0001119704,-0.0000231991,0.0001040394,1.7541461041,1.7540420647,0.0000303708,0.0000299685,-0.0000004023,0.0000147720,0.0000050302,-0.0000097419,0.2458246089,0.7037068197,0.3861176449,1.7541461041,0.1402930360,1.7540420647,1.7540420647,2.4323724066
"C00010[K,c]",CoA [cyt],C00010,c,0.0085018000,0.0083283100,-0.0001734900,0.0080279200,0.0094009500,0.0013730300,0.0089117700,0.0090604650,0.0001486950,0.0103073250,0.0095119300,-0.0007953950,0.0263554200,0.0188438800,-0.0075115400,0.0867284050,0.0881708400,0.0014424350,0.0977853350,1.7497471150,1.6519617800,0.0025152450,0.0108469300,0.0083316850,0.0311416525,0.0977853350,0.2379888025,1.7497471150,0.2068471500,1.6519617800,1.6519617800,1.6717380500
"C00024[K,c]",Acetyl-CoA [cyt],C00024,c,0.0000000000,0.0000025350,0.0000025350,0.0000000000,0.0000025400,0.0000025400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0036067400,0.0000000000,-0.0036067400,0.0523990900,0.0606108300,0.0082117400,0.0926750600,1.7398566700,1.6471816100,0.0000294000,0.0099843400,0.0099549400,0.0185887863,0.0926750600,0.2263071144,1.7398566700,0.2077183281,1.6471816100,1.6471816100,1.6689601050
"C00027[K,c]",C00027 [cyt],C00027,c,0.0001008100,0.0000999450,-0.0000008650,0.0000951900,0.0001126700,0.0000174800,0.0001056400,0.0001074200,0.0000017800,0.0001221800,0.0001127900,-0.0000093900,0.0041716550,0.0002234300,-0.0039482250,0.0044148800,0.0537354600,0.0493205800,0.0927354650,1.7399163050,1.6471808400,0.0000588000,0.0000114450,-0.0000473550,0.0127255775,0.0927354650,0.2242899331,1.7399163050,0.2115643556,1.6471808400,1.6471808400,1.7005265150
"C00020[K,c]",AMP [cyt],C00020,c,0.0003109000,0.0003057700,-0.0000051300,0.0002918300,0.0003453100,0.0000534800,0.0003277850,0.0003321450,0.0000043600,0.0003796450,0.0003473000,-0.0000323450,1.6278249900,0.0006922100,-1.6271327800,0.0345711350,0.5650609900,0.5304898550,1.2033561000,0.0099469050,-1.1934091950,0.0000875950,0.0000342750,-0.0000533200,0.3583937475,1.6278249900,0.0721331131,0.5650609900,-0.2862606344,0.5304898550,1.6271327800,3.3511804650
"C00013[K,c]",Diphosphate [cyt],C00013,c,0.0088091350,0.0086248100,-0.0001843250,0.0083163250,0.0098483300,0.0015320050,0.0092346050,0.0093887400,0.0001541350,0.0106808650,0.0098536050,-0.0008272600,1.6292532750,0.0197509900,-1.6095022850,0.0352341750,0.5659273300,0.5306931550,1.2083970350,0.0100719300,-1.1983251050,0.0025722750,0.0008759050,-0.0016963700,0.3640622112,1.6292532750,0.0792927050,0.5659273300,-0.2847695063,0.5306931550,1.6095022850,3.3429146400
"C00092[K,c]",C00092 [cyt],C00092,c,0.1991851000,1.7993579500,1.6001728500,1.7840279700,1.3277845300,-0.4562434400,0.1521219900,0.0000000000,-0.1521219900,0.0106467500,0.1708338000,0.1601870500,0.0000578200,0.9332271200,0.9331693000,1.5798590650,0.0005958200,-1.5792632450,1.2913356800,0.0000000000,-1.2913356800,0.0000000000,0.0008826000,0.0008826000,0.6271542969,1.7840279700,0.5290852275,1.7993579500,-0.0980690694,1.6001728500,1.6001728500,6.1733761550
C00015[P],C00015 [],C00015,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000019200,0.0000019200,0.0000000000,0.0000018500,0.0000018500,0.0000000000,0.0000018000,0.0000018000,0.0000000000,0.0000035600,0.0000035600,0.0000000000,0.0000018000,0.0000018000,0.0000000000,1.5099936800,1.5099936800,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1887505762,1.5099936800,0.1887505762,1.5099936800,1.5099936800,1.5100046100
"C00063[K,B]",C00063 [B],C00063,B,0.0000008211,0.0000008025,-0.0000000187,0.0000007783,0.0000009093,0.0000001310,0.0000008609,0.0000008781,0.0000000173,0.0000009983,0.0000009200,-0.0000000783,0.0000022001,0.0000018213,-0.0000003788,0.0000016917,0.0000022113,0.0000005196,0.0000004922,1.5099932089,1.5099927167,0.0000002402,0.0000001509,-0.0000000893,0.0000010103,0.0000022001,0.1887501128,1.5099932089,0.1887491024,1.5099927167,1.5099927167,1.5099939497
"C00014[K,c]",C00014 [cyt],C00014,c,0.0004039000,0.0540198500,0.0536159500,0.0522830300,0.0608080700,0.0085250400,0.0586318800,0.0591835100,0.0005516300,0.0705981600,0.0650417200,-0.0055564400,0.0022596700,0.0008937350,-0.0013659350,0.1005479800,0.0010820350,-0.0994659450,0.0002416100,1.5100873850,1.5098457750,0.1212436300,0.0043546600,-0.1168889700,0.0507762325,0.1212436300,0.2194338706,1.5100873850,0.1686576381,1.5098457750,1.5098457750,1.7958156850
"C00063[K,c]",C00063 [cyt],C00063,c,0.0081775000,0.0080036100,-0.0001738900,0.0077209700,0.0090359650,0.0013149950,0.0085708400,0.0087141100,0.0001432700,0.0099116700,0.0091466900,-0.0007649800,0.0000025100,0.0181219800,0.0181194700,0.0000016900,0.0000022250,0.0000005350,0.0049143000,1.5099935450,1.5050792450,0.0023905200,0.0008139300,-0.0015765900,0.0052112500,0.0099116700,0.1954790069,1.5099935450,0.1902677569,1.5050792450,1.5050792450,1.5271729750
"C00075[K,c]",C00075 [cyt],C00075,c,0.0002220900,0.0002167500,-0.0000053400,0.0002101300,0.0002466000,0.0000364700,0.0002328800,0.0002378000,0.0000049200,0.0002704700,0.0002495400,-0.0000209300,0.0005942400,0.0004943350,-0.0000999050,0.0004573900,0.0005976250,0.0001402350,0.0828715300,1.5101250250,1.4272534950,0.0292710400,0.0000221200,-0.0292489200,0.0142662212,0.0828715300,0.1890237244,1.5101250250,0.1747575031,1.4272534950,1.4272534950,1.4568102150
"C00015[K,c]",C00015 [cyt],C00015,c,0.0002214200,0.0002167450,-0.0000046750,0.0002091200,0.0002466000,0.0000374800,0.0002320400,0.0002377950,0.0000057550,0.0002683750,0.0002495400,-0.0000188350,0.0005924450,0.0004943350,-0.0000981100,0.0004560050,0.0005976250,0.0001416200,0.0828715300,1.5101250200,1.4272534900,0.0000647600,0.0000220450,-0.0000427150,0.0106144619,0.0828715300,0.1890237131,1.5101250200,0.1784092512,1.4272534900,1.4272534900,1.4276026800
