Rank,Metabolite_ID,Metabolite_Name,Base_KEGG_ID,Compartment,Direction_in_O2,Consistency,DAPs_with_change,Mean_Abs_Diff,Max_Abs_Diff,Relevance_Weight,Composite_Score,Suggested_Strategy,Pathways,Diff_DAP6,Diff_DAP8,Diff_DAP10,Diff_DAP12,Diff_DAP15,Diff_DAP18,Diff_DAP22,Diff_DAP30
32,"C05378[K,c]",C05378 [cyt],C05378,c,DECREASED,0.75000000,8,0.84861750,1.95019398,1.00000000,0.63646313,Reduce turnover (limit competing usage),Other,1.62801619,-0.94368661,1.95019398,-0.04793582,-0.64007515,-0.06244473,-0.51225319,-1.00433434
33,"C00005[K,p]",NADPH [pla],C00005,p,DECREASED,0.50000000,8,0.60901542,4.09249423,2.00000000,0.60901542,Reduce turnover (limit competing usage),Energy_Cofactors,-0.00543563,0.05753943,0.00895132,-0.02967278,-0.17377346,0.22941953,4.09249423,-0.27483701
34,"C00006[K,p]",NADP+ [pla],C00006,p,DECREASED,0.50000000,8,0.60901542,4.09249423,2.00000000,0.60901542,Reduce turnover (limit competing usage),Energy_Cofactors,-0.00543563,0.05753943,0.00895132,-0.02967278,-0.17377346,0.22941953,4.09249423,-0.27483701
35,"C00024[K,p]",Acetyl-CoA [pla],C00024,p,DECREASED,0.50000000,8,0.40136539,2.83311700,3.00000000,0.60204808,Reduce turnover (limit competing usage),TCA_Cycle,-0.00250854,0.03504914,0.00610860,-0.01705635,-0.09281147,0.10714283,2.83311700,-0.11712916
36,"C00111[K,c]",Glycerone-phosphate [cyt],C00111,c,INCREASED,0.62500000,8,0.91211490,1.95495431,1.00000000,0.57007181,Enhance turnover (increase supply/demand),Glycolysis,1.59978910,-0.92274562,1.95495431,0.05148486,-0.69908625,0.08091213,0.86754243,-1.12040445
37,"C00020[K,c]",AMP [cyt],C00020,c,DECREASED,0.62500000,8,0.41889756,1.62713278,2.00000000,0.52362195,Reduce turnover (limit competing usage),Energy_Cofactors,-0.00000513,0.00005348,0.00000436,-0.00003234,-1.62713278,0.53048986,-1.19340919,-0.00005332
38,"C00024[K,c]",Acetyl-CoA [cyt],C00024,c,INCREASED,0.83333333,6,0.20862001,1.64718161,3.00000000,0.52155003,Enhance turnover (increase supply/demand),TCA_Cycle,0.00000253,0.00000254,0.00000000,0.00000000,-0.00360674,0.00821174,1.64718161,0.00995494
39,"C00047[K,B]",L-Lysine [B],C00047,B,INCREASED,0.62500000,8,0.15707243,1.25078026,5.00000000,0.49085134,Enhance turnover (increase supply/demand),Lysine_Biosynthesis; Lysine_Degradation; Aspartate_Family,-0.00000005,0.00000041,0.00000005,-0.00000024,0.00579634,0.00000159,1.25078026,-0.00000049
40,"C00036[K,p]",Oxaloacetate [pla],C00036,p,INCREASED,0.62500000,8,0.20907018,1.20755110,3.00000000,0.39200659,Enhance turnover (increase supply/demand),TCA_Cycle,-0.00244054,0.01610843,0.00097762,-0.01037077,0.13645206,0.26061288,1.20755110,-0.03804803
41,"C00092[K,c]",C00092 [cyt],C00092,c,DECREASED,0.50000000,8,0.77167202,1.60017285,1.00000000,0.38583601,Reduce turnover (limit competing usage),Other,1.60017285,-0.45624344,-0.15212199,0.16018705,0.93316930,-1.57926324,-1.29133568,0.00088260
42,"C00004[K,p]",NADH [pla],C00004,p,DECREASED,0.50000000,8,0.37584600,2.64732057,2.00000000,0.37584600,Reduce turnover (limit competing usage),Energy_Cofactors,-0.00536964,0.03857024,0.00342908,-0.02342892,-0.02155634,0.08503144,2.64732057,-0.18206174
43,"C00003[K,p]",NAD+ [pla],C00003,p,DECREASED,0.50000000,8,0.37584600,2.64732057,2.00000000,0.37584600,Reduce turnover (limit competing usage),Energy_Cofactors,-0.00536964,0.03857024,0.00342908,-0.02342892,-0.02155634,0.08503144,2.64732057,-0.18206174
44,"C00009[K,c]",Orthophosphate [cyt],C00009,c,DECREASED,0.50000000,8,0.71463056,3.21824938,1.00000000,0.35731528,Reduce turnover (limit competing usage),Other,0.03816702,0.04058736,-0.00933133,-0.04345071,-1.45656126,0.75972183,3.21824938,-0.15097564
45,"C00236[K,c]",3-Phospho-D-glyceroyl-phosphate [cyt],C00236,c,INCREASED,0.62500000,8,0.56626005,4.24216754,1.00000000,0.35391253,Enhance turnover (increase supply/demand),Glycolysis,0.05481761,0.04184796,0.00951694,-0.01708531,-0.03469600,0.02488826,4.24216754,-0.10506081
